Complaint,Tags
"I paid of my mortgage in XXXX XXXX sum of {$85000.00} they deleted it with out my consent I never ever even disputed nor did I try they removed my paid of XXXX XXXX XXXX sum {$35000.00} as XXXX XXXX the deleted my ally loan sum of {$29000.00} as of XXXX XXXX then I called them yesterday told them on XXXX/XXXX/XXXX that there was suspicious phone number XXXX on my fraud alert hows that they did n't know I asked them would they please change it back they did they asked XXXX security questions only I would no you hade XXXX anser each question with XXXX correct answers I did that it was good they deleted the old number that 's not mine put in correct number XXXX that was there from when the fraud alert was put on XXXX XXXX he was trying too figure out how that happened as seen the some one added extended fraud alert with that new number trying too block me from my credit report its raised red flag with them they were nice enough too help me out I told them I got there credit monitor as yesterday XXXX/XXXX/XXXX too protect me know but we have problem XXXX inquiries within starting XXXX XXXX till as of XXXX/XXXX/XXXX I called them on XXXX/XXXX/XXXX added security freeze I have the new freeze number they removed the old one due too some one got my mail transferred are come buy checked it took it out and try too block me out please help me I hade perfect XXXX with transunion in XXXX XXXX too XXXX XXXX know in down too XXXX what happen my house was deleted my XXXX paid loans were deleted XXXX has the paid mortgage and the XXXX car loans that are paid in full as well I tried too share them with them they told me nope they do n't do that yes there supposed too do that that 's my loans I worked hard too pay off all ask of them too do the wright thing as worked so hard too keep some what good credit it took some one trying too steal my identity too crash it please help me I know who has are trying too do this thanks 
","delete, information, paid, mortgage, car loan"
"My daughter 's father passe away and XXXX of her Well 's Fargo Loans went into default. There is also XXXX that is current that I am making payments on and trying to get it re-financed away from her co-signer that is her XXXX XXXX. I filled out an application and have great credit, own a home and have a substantial salary! I did have fraud on my credit and emailed a police report disputing any negative issues. After having the XXXX application with my daughter turned down, I submitted XXXX in my name only and had that turned down too!!!!! I do n't understand what is going on and am very upset dealing with them! I want to bring all of the private loans current and feel that they are preventing me from being a credit worthy borrower and need to complete this complaint! 
","loan, default, application, turned, down"
"This is the XXXX time that I have contacted XXXX in regards to inaccurate negative information on my credit report. The information being reported is erroneous. First of all XXXX XXXX XXXX is not the original creditor. SLU care is and I sent a letter to XXXX as well as the other XXXX credit bureaus which have removed this information from my report. However XXXX is refusing to do so with documentation presented by the creditor. I have been dealing with this issue since XXXX to no avail. the following information is their response to the dispute after being presented with a letter from the creditor that indicated a 100 % financial assistance for XXXX yr and a XXXX balance on my account with them XXXX XXXX XXXX XXXX : XXXX ... Outcome : Updated Dispute Status XXXX credit report prepared forFAILS, XXXX XXXX report number XXXX date : XXXX XXXX, 2015 Credit Report Toolkit : Credit EducationThis link opens a new browser windowKnow your rightsThis link opens a new browser windowListed below are the current disputes we have received from you. 

Results Due : XXXX Method : XXXX XXXX Items XXXX Number : XXXX ... Outcome : UpdatedPlease note that certain items may not display until later because they required additional processing. 
","inaccurate, negative, information, credit, report"
"In XXXX, I requested my free annual credit report. After viewing my credit report, I noticed over XXXX credit/loan inquiries on my account that was not authorized by me. I contacted each company and was told that there was not any account open under my information. I explained that I have a hard inquiry on my credit report and need it removed as soon as possible so that I could apply for a home. I was told that the inquiries would be removed from my credit report. As of XXXX/XXXX/XXXX, none of the inquiries have been removed dating back to XXXX. I had a initial fraud alert placed on my report on XXXX XXXX, so if any credit reports are being pulled with my information, I was to be contacted by the company before any action was taken place. I just want the inquiries to be removed so that my scores and credit is not being impacted any longer. I would like to purchase a house, but until all of the inquires are removed I will not be approved with XXXX inquires on my credit report. 
","loan, not, authorized, remove, inquiry"
"This individual has called me almost every single day in regards to credit card debt that I have been unable to pay due to unemployment. He leaves numerous messages. He has called my parents, my brother, and most likely other individuals that share my last name. I called him today and he threatened me by saying that if I did not pay a certain amount that legal action would be taken. He hassled me to ask family members for money. I told him NOT to call my parents as I have not lived with them for 15 years and they would not be paying this debt on my behalf. 
","unemployment, unable, pay, credit card, debt, threat, call"
"This individual has called me almost every single day in regards to credit card debt that I have been unable to pay due to unemployment. He leaves numerous messages. He has called my parents, my brother, and most likely other individuals that share my last name. I called him today and he threatened me by saying that if I did not pay a certain amount that legal action would be taken. He hassled me to ask family members for money. I told him NOT to call my parents as I have not lived with them for XXXX years and they would not be paying this debt on my behalf. 
","unemployment, unable, pay, credit card, debt, threat, call"
"In XX/XX/XXXX, while discussing an unrelated business mater with a current lender, I was made aware that an account, I did not authorize or initiate, had me listed as a cosigner. I immediately notified the lender that I was a victim of identity fraud and requested to see the information they had on file. In turn, I checked my credit reports, confirmed the presence of the fraudulent account, and contacted each of the XXXX ( XXXX ) credit reporting companies and disputed the information. At varying dates in XX/XX/XXXX, each of the credit reporting companies ( CRCs ) reported that the account was confirmed by the lender. To date, the fraudulent information remains on my credit file and [ neither ] CRC has ever notated my credit profile about the account being disputed. 

After [ several ] additional telephonic requests to the lender between XX/XX/XXXX to XX/XX/XXXX, the lender mailed me a copy of the loan origination documents along with its internal ID theft package. I immediately filed a law enforcement report ( LER ) with my local Sheriff XXXX Office and returned the original package and supporting documentation to the lender in XX/XX/XXXX. The supporting documentation included a copy of the lender 's loan origination document, my LER, drivers license, social security card, and hand writing samples. 

In XX/XX/XXXX, I was notified by a potential employer that I was deemed unsuitable due the presence of delinquent financial information on my credit report. In that same notification, I was provided a copy of my combined credit report which still contained the fraudulent account on each of the CRC 's reports. I began researching laws and learned about the FCRA and the FTC. After learning that the combination of an LER and FTC Identity Theft Affidavit ( ITA ) produce an Identity Theft Report ( IDR ), I filed an ITA on the FTC 's website. 

In turn, I sent [ via certified mail ] FTC 's CRC-template letters and supporting documentation to each of the XXXX credit reporting companies requesting that the fraudulent account be blocked, removed, and that a extended fraud alert be placed on my credit file as per the FCRA. The supporting documentation for each submission of FTC 's CRC-template letter included a copy of the lender 's loan origination document ; my credit report, drivers license, social security card, and hand writing samples ; as well as FCRA Section 611. 

According to XXXX tracking, the CRCs received their certified letters on XX/XX/XXXX and XX/XX/XXXX [ XXXX ], respectively. To date, each CRC has placed an extended fraud alert but has [ not ] blocked the fraudulent account information from my respective credit profile [ or ] contacted me declining my request to block the fraudulent information. In fact, XXXX CRC will not allow me to order a credit report directly and advised ( via telephone ) that my IDR was not sufficient but would not provide its justification method in making that determination. Subsequently, and, respectively, I have ordered additional credit reports which indicate each CRC 's non-compliance the FCRA 's imposed time limits. To their credit, XXXX CRCs have listed the fraudulent account as disputed/under investigation. 

Additionally, I sent [ for the XXXX time, via certified mail ] FTC 's lender-template letter and supporting documentation to the lender requesting that the lender block, absolve me of responsibility, and stop inaccurately furnishing the fraudulent account information to the CRCs. The supporting documentation to my submission of FTC 's lender-template letter included a copy of the lender 's loan origination document and ID Theft Affidavit ; my IDR, credit report, drivers license, social security card, and hand writing samples ; as well as FTC 's Notice to Furnishers ) According to XXXX tracking, the lender received its certified letter on XX/XX/XXXX. To date, the lender has not made any contact with me. 

XXXX : FTC XXXX # XXXX 
","unauthorize, account, listed, cosigner"
"In XX/XX/XXXX, while discussing an unrelated business mater with a current lender, I was made aware that an account, I did not authorize or initiate, had me listed as a cosigner. I immediately notified the lender that I was a victim of identity fraud and requested to see the information they had on file. In turn, I checked my credit reports, confirmed the presence of the fraudulent account, and contacted each of the XXXX credit reporting companies and disputed the information. At varying dates in XX/XX/XXXX, each of the credit reporting companies ( CRCs ) reported that the account was confirmed by the lender. To date, the fraudulent information remains on my credit file and [ neither ] CRC has ever notated my credit profile about the account being disputed. 

After [ several ] additional telephonic requests to the lender between XX/XX/XXXX to XX/XX/XXXX, the lender mailed me a copy of the loan origination documents along with its internal ID theft package. I immediately filed a law enforcement report ( LER ) with my local Sheriff 's Office and returned the original package and supporting documentation to the lender in XXXX. The supporting documentation included a copy of the lender 's loan origination document, my LER, drivers license, social security card, and hand writing samples. 

In XX/XX/XXXX, I was notified by a potential employer that I was deemed unsuitable due the presence of delinquent financial information on my credit report. In that same notification, I was provided a copy of my combined credit report which still contained the fraudulent account on each of the CRC 's reports. I began researching laws and learned about the FCRA and the FTC. After learning that the combination of an LER and FTC Identity Theft Affidavit ( ITA ) produce an Identity Theft Report ( IDR ), I filed an ITA on the FTC 's website. 

In turn, I sent [ via certified mail ] FTC 's CRC-template letters and supporting documentation to each of the XXXX credit reporting companies requesting that the fraudulent account be blocked, removed, and that a extended fraud alert be placed on my credit file as per the FCRA. The supporting documentation for each submission of FTC 's CRC-template letter included a copy of the lender 's loan origination document ; my credit report, drivers license, social security card, and hand writing samples ; as well as FCRA Section 611. 

According to XXXX tracking, the CRCs received their certified letters on XX/XX/XXXX and XX/XX/XXXX [ XXXX ], respectively. To date, each CRC has placed an extended fraud alert but has [ not ] blocked the fraudulent account information from my respective credit profile [ or ] contacted me declining my request to block the fraudulent information. In fact, XXXX CRC will not allow me to order a credit report directly and advised ( via telephone ) that my IDR was not sufficient but would not provide its justification method in making that determination. Subsequently, and, respectively, I have ordered additional credit reports which indicate each CRC 's non-compliance the FCRA 's imposed time limits. To their credit, XXXX CRCs have listed the fraudulent account as disputed/under investigation. 

Additionally, I sent [ for the XXXX time, via certified mail ] FTC 's lender-template letter and supporting documentation to the lender requesting that the lender block, absolve me of responsibility, and stop inaccurately furnishing the fraudulent account information to the CRCs. The supporting documentation to my submission of FTC 's lender-template letter included a copy of the lender 's loan origination document and ID Theft Affidavit ; my IDR, credit report, drivers license, social security card, and hand writing samples ; as well as FTC 's Notice to Furnishers ) According to XXXX tracking, the lender received its certified letter on XX/XX/XXXX. To date, the lender has not made any contact with me. 

RE : FTC ITA # XXXX 
","unauthorize, account, listed, cosigner"
"I was called by a blocked number today. The guy told me he was going to come to my work tomorrow to "" serve '' me. He said he just wanted to give me the heads up. Obviously, this shocked me. I asked him what charges and from whom. He said he could not tell me that, but he could give me the party 's number ( XXXX ) and my case number. I immediately called the number he gave me. It was Dispute Resolution Services. My "" case manager '' ( XXXX XXXX ) says I owe them {$2900.00} from a check into cash loan I got on XXXX/XXXX/XX/XX/XXXX. XXXX said that if I did not resolve this today, I would be served by the guy that originally called me, who would be accompanied by a uniformed officer and that my boss would also have to sign the papers. I asked why they were coming to my work. He told me that they would try my house XXXX, but if they failed to find me there, they would go to my work. I asked when they were planning on doing this. He said between XXXX and XXXX tomorrow. He told me I could face up to 1 year in jail and have to pay an additional {$1000.00} penalty because they are charging me with check fraud under section XXXX of some law. I asked him if I could get a copy of the application from the original debtor and he said no, stating that the application was to be used against me in court. I told him I was going to need to call him back, because I was at work and a bit in shock from what he was saying. He said he would be able to give me until XXXX to call him back, or he would move forward with these charges and he gave me his extension ( XXXX ). After getting off the phone with him, I called XXXX XXXX XXXX to verify this debt. They said they sold my debt to XXXX, but XXXX is known for allowing other debtors collect on their behalf. She said many times, these are scams and get people to pay way more than what they actually owe. I was on the phone with her for a long time while she tried to find this company and/or anything about XXXX XXXX. The only thing she found said that they had their license revoked a few years ago. She was very sweet and reassured me that I was not going to jail and that she would contact XXXX to notify them of this situation. She also gave me XXXX 's number to follow up with them myself. I called XXXX, but they were closed and the voice recording asked me to leave my phone number and my full social security number.. umm, no thanks! I then called XXXX XXXX back at XXXX XXXX XXXX ( at XXXX ). XXXX did n't answer. I left him XXXX voice mails from XXXX to XXXX. NO CALL BACK!! Now, I have to go to work tomorrow in fear that a cop and some guy will show up to serve me, to publicly humiliate me and/or threaten me with more scary tactics like "" jail time '' and "" thousands of dollars in penalties ''. 
","threat, call, scam, pay, more"
"This credit account is inaccurate because the late payments reported are incorrect. The late payments correspond to errors committed by XXXX XXXX XXXX XXXX. XXXX XXXX unilaterally and incorrectly directed the monthly payments to payment of insurance, this error was subsequently corrected ( prove of the inaccuracy ) ; nevertheless the late payments continue to appear on my report. I am requesting that the account is removed due to this inaccuracy. 
","inaccurate, credit, account, incorrect, payment, report"
"Equifax and XXXX. I signed up two months ago to check my score. Now it is time to cancel because {$40.00} a month is too expensive. The only way to cancel Equifax is to call a XXXX number. It is a long and drawn out process. Finally we talk to someone ( husband and I ) in a foreign country. They ask all sorts of annoying questions and hard sell continued service. The XXXX time they even hung up. We spent a half hour or more just to cancel the darn service!!!! They shoudl provide many more options for cancelling, INCLUDING cancelling online, for crying out loud. 
XXXX is even worse. I logged in to check my score and the info is not made available. It keeps on kicking me out. To cancel, I have to call yet another XXXX number. It is so painfully obvious that they are just sucking the automatic payments right out of you and making cancellation so hard that most people simply give up. 
","unable, cancel, monthly, score, check"
"Hello, I am a XXXX XXXX XXXX from the University XXXX XXXX XXXX in XXXX XXXX, Ohio. 
I am writing to inquire about what the terms or grounds for harassment are regarding a student loan lending company? I am struggling to find a stable and secure position within my degree field and I have every intention of paying back what I owe in debt. However I am in a position that I do not possess the financial means to pay the lump sum they are demanding. 

I have pleaded for a deferment so that I can find a job and not have the added stress that they are burdening me with. They call my house dozens of times a day, at all hours of the day from very early morning till XXXX or later. They have also called my grandparents yesterday, and today have contacted a close friend from XXXX. 

I am a XXXX and have no knowledge of law when it comes to something that pertains to this predicament, I am just at wits end and plan to pay most of what I have in savings just to get them to subside for the time being so that I can devote more of my time to finding a stable job. 

Thank You. 
","deferment, no, financial, means, to pay"
"After retaining counsel in XXXX of XXXX due to contact by XXXX XXXX XXXX a collection agency in XXXX OH for judgement on a credit card debt I could no longer pay on due to having lost my job in XXXX of XXXX ... said collection agency sent me on consecutive months from XXXX till XXXX, requests fro payments ... Attorney XXXX XXXX XXXX OH contacted said collection firm and asked to set up a payment schedule - debited directly from my bank account. Attorney XXXX NEVER had a call returned from XXXX XXXX the contact person on record for this action with XXXX XXXX XXXX in XXXX OH. I am on XXXX, as my only source of income. 
Being a seasonal employee at XXXX XXXX in XXXX - I was contacted by XXXX XXXX that my wages would be garnished at 25 % of net pay, when I worked for XXXX XXXX - working for XXXX XXXX from XXXX XXXX to XXXX XXXX, XXXX - I had {$2800.00} garnished from my paychecks - a MAJOR setback for my finances as my XXXX barely covers my monthly overhead. 
Efforts by Attorney XXXX to reach XXXX XXXX at XXXX XXXX XXXX to arrive at an equitable monthly payment - directly debited from my account. Went unanswered by phone and writing. 
A complete written history since judgement was rendered by the court toward my effort to establish payment schedule, through counsel is 100 % factual. This Collection agency - XXXX XXXX XXXX has totally ignored all requests by counsel & has circumvented equitable protocol to establish a payment schedule for re-payment of this debt. 
","collection, agency, ignore, counsel, request"
"Repeated calls being informed that they are trying to serve me some legal documents. Misrepresenting themselves and leaving threatening voicemails. Constant and frequent calls with none on the other end and ghost calls to relatives. Cease and desist emailed and faxed. I have XXXX XXXX and they are stressing myself and my XXXX year old mother. 
","repeated, threat, calls, legal, documents"
"an amount on my credit report which is not in my name nor have I had a history with this company 
","account, not, mine, credit, report"
"XXXX XXXX and XXXX had XXXX loans with XXXX XXXX, when they split into the Navient they screw up my payments, would send XXXX to Navient and XXXX to XXXX XXXX, per the addresses they provide me. Well all the payments I sent to Navient were getting credited to the XXXX XXXX XXXX account. I called them and they said I had to send them proof that I sent the money, and to up-load the cancelled checks. Went online to upload documents as they told me to, but there are no options to upload the docs on their website. Called again, had to explain the story XXXX or XXXX more times to different reps. They kept on passing the buck around to different reps. 
Finally a rep told me there was no place to upload docs as the other reps told me to do ... ... Straight up lies. Finally talked to a rep, who told me to send separate payments to different account numbers, XXXX to Navient and XXXX to XXXX XXXX. These companies should be shut down. Customer service is on par to XXXX. XXXX different companies under XXXX umbrella. 
","split, navient, payment done, asked, upload, docs"
"Transunion conceals customer service hotline on company website. I had to go to a consumer info sharing site to get the number. I am convinced the number does not appear at all on their own site. 
","customer, service, number, not, appear"
"I wish I could click more than XXXX item above that is an issue, instead I will list them here. 
Asset Recovery, they call under both names, continuously harrasses me on my cell phone and now they have started to contact me at work. Even going so far as to misrepresent themselves as contacting me on behalf of my employer ( while I was at work ) and asking me to confirm my ss # etc. They then laughed when I would n't and said I would most likely be fired. 

They are trying to collect on a debt I DO NOT OWE. My credit is clean. I do not owe XXXX. I contacted XXXX XXXX Services and they said they have no idea what XXXX or Asset Recovery are speaking of. My account is up to date and paid adn has been. 

XXXX/Asset is also saying that there is a lawsuit against me and they are going to inform my employer and I will be fired. I have been cursed at, yelled at and threatened day and night. It 's not stopping and now it 's at my place of my employment when I 've asked them to stop. 

This is a horrible horrible business and it seems there is no recourse. 
","call, recovery, debt, not, owe"
"The debt, XXXX account was settled and paid with a collection Agency, in XX/XX/XXXX and XX/XX/XXXX, with confirmation numbers and check numbers. I have sent this information to another agency who is trying to collect on the debt, each time I call to verify it 's been taken care of and collection attempts to stop, I keep getting information that is incorrect. The original debt collection agency was XXXX XXXX. I was told on more than XXXX occasion that they could not give me any information because it was archived and they gave me other phone numbers to call. XXXX was the original credit card company and when I called their number the recording stated that they were not taking calls at this time. This was on a Thursday, before XXXX CST. Finally I was able to get in touch with their dispute department, via internet and email, I did get a response that the debt was paid in full along with the account number. I am still having issues with the NEW Collection Firm. 
","debt, settled, issue, new, collection, firm"
"This isnt my debt 
","debt, not, mine"
"Equifax refuses to remove erroneous information from my credit report. They said I can put a statement. But whats so funny is the company reporting the information XXXX, XXXX is out of business and they refuse to give me their phone number. 
","refuse, remove, erroneous, information, credit, report"
"I have NEVER had a credit card with XXXX XXXX XXXX. This debt is being shopped around to several collection agencies dumb enough to buy it. This is NOT my debt and I will NOT be paying it. 
","debt, not, mine, never, had, credit card"
"I have successfully contact the debt collector to arrange my file but i was told that they could not provide me with the information. i was asking to find out what is it that they are charging me for ( invoices, letter, etc ). They did not provide the information for my inquiry. 
","not, providing, information, charging, debt"
"Paid for Credit Monitoring, XXXX, {$19.00} per month, XXXX/XXXX/15 called back XXXX/XXXX/15 at approx XXXX : XXXX to cancel and was told that you could not cancel XXXX, they would charge. They would cancel it effective XXXX XXXX. I explained that I did not have a opportunity to really understand what I had signed up for. Since I had a chance to talk to other and realize I already had similar services, I called back to cancel and they said "" TOO BAD ''. I would like my money back. 
","cancel, credit, monitoring, service"
"I have tried to request my annual credit reports from all three credit reporting agencies. ( XXXX, Experian, & XXXX ). After asking for my general information, and my social security number, date of birth, etc., I was asked XXXX or XXXX questions about my checking account, if a home i currently live in or did live in is in a specific town, if i worked at a certain company, etc. I went through this XXXX ( because it timed out both times ) but the XXXX time I had a problem because I had to look for the deed to my home, to see the exact year it was built, the question was ridiculous. It asked the year it was built, not the approx. year it was built, but the year it was built. I bought the home in XX/XX/XXXX. It was built ( i have since found out ) in XX/XX/XXXX. I knew it was around then, but not exactly that year. The answers to the questions were : XX/XX/XXXX-XX/XX/XXXX or XX/XX/XXXX-XX/XX/XXXX. I mean, if i was guessing, which is what i would have been doing, it could have gone either way XXXX XXXX??? it ends up i can not get my reports on line now. I am very upset about this. The people generating these questions should think a bit before putting them out there. I recently had to answer a question for my bank and it was about a cousin of mine and if he owned land in some state, I havent even seen him in years. It is ridiculous. 

regards 
","not, get, annual, credit, report, online"
"They are calling upwards of XXXX times a day, often with repeated phone calls occurring within minutes of each other. They are also switching phone numbers every few days, making it very difficult to get them to stop calling. 

In addition this company, despite having called in excess of XXXX times, has never left a single voice mail message. 

Finally, based on the calling pattern and lack of messages, it appears that the company is improperly using automatic dialers ( ie, robo dialing ), which we have never given consent to, putting them in violation of the the XXXX XXXX XXXX XXXX XXXX XXXX XXXX. 
","repeated, calls, never, consent, robo, dialing"
"I have informed credit reporting agencies about my issue and waiting for the answer from them, Mean while I heard about CFPB and thought To file an complaint. I used in XXXX 2013 a company call freight center in XXXX to ship household items to XXXX, there was XXXX pallets, as per my knowledge weight was under XXXXlb on each pallet and paid in advance some of {$2800.00} to freight center, they over charged me as per the quote so I called them and they gave me credit for an amount {$85.00} same day. After 4 weeks from delivery of my house hold goods they are coming back with additional {$1000.00} for additional cost which I did not get it, there fore I refuse to pay them an hidden cost and know I see they have hired collection company called XXXX, is showing on my credit report, I am going to attached a proof of documents to prove the payment was maid thru credit card. There fore I request CFPB to investigate and help me to remove this negative item from my credit report, which is affecting me on my business and raised up my family. I am also attaching my credit report to show CFPB I have very good payment history, Thank you. 
SincerelyXXXX XXXX XXXX 
","refuse, pay, hidden, cost, credit, report"
"originally owed a credit card debt to XXXX XXXX bank back in XX/XX/XXXX that apparently was closed in XX/XX/XXXX an sold to collections for the amount owed {$2500.00}. Was unable at that time to take care of it and thought it was unusually long for them to keep the debt opened for so long before closing it. Am trying to fix credit now but new collector ( midland funding ) is now charging almost double the original amount - {$4000.00}. please help it is the only debt holding me back from succeeding in any business and they are not willing to give any explanations for this old credit card debt. 
","credit card, debt, new, collector, charging, double"
"They have been calling me XXXX times a day, XXXX every hour on the hour from XXXX to XXXX. Sending mail to my house, looked up my mother, brother and father on public record and called them about my loan, call from a blocked number and have lied about it. Lied to my brother saying I listed him as a reference ( I did not ). Then when I asked how they got the information, they told me they looked it up on public record. I told them it was XXXX, they told me it was not. I have emailed them saying it 's XXXX, yet they continue to call. 
","call, family, lied, information"
"I have been receiving emails using a XXXX address from a XXXX XXXX claiming to be an attorney representing US Fast Cash XXXX threatening legal action up to and including prosecution if I do not pay an amount of {$950.00}. I have never had any dealings or even heard of this company. When I asked for the company phone number and address, XXXX XXXX failed to provide it. 
","claim, attorney, legal, action, never, deal, company"
"I have been in chapter XXXX since XX/XX/2011. The case was turned to chapter XXXX and discharged last year. I have been waiting to receive repayment instruction from the bank on this loan. Nothing yet. Yesterday I get a harassing call from a collection agency, XXXX XXXX XXXX. I am willing to go on payment plan and repay but ca n't afford lump sum and do not want to deal with collection agency. 
","harassment, call, not, afford, lump sum"
"I have inquiry alerts through my bank. On XXXX XXXX, XXXX, i received a inquiry alert fromt Banner Finance, DBA Commerce Finance XXXX XXXX. XXXX XXXX XXXX XXXX XXXX, Texas had done a hard inquiry. I had a Signiture loan back in XXXX, that was paid. I contact Corporate XXXX Banner Finance and spoke to Secretary XXXX. I ask why was a inquiry done on my behalf, if i had not applied for a line of credit now. She responded that they have the right to collect old debt. So again second inquiry done on XXXX XXXX, XXXX. I believe this Company is unlawfully using my SS  for wrong business. They have never contacted me by phone or by mail. I believe its fraudulent on what is being done. I am requesting for those inquiries to be removed from my credit reporting. Your immediate attention is needed., Thanks Concern Consumer 
","loan, paid, fraud, inquiry, credit, report"
"No person on the phone would help me resolve this issue. I called XXXX XXXX XXXX, XXXX XXXX XXXX and XXXX XXXX XXXX. I tried to get my free credit report from Transunion at XXXX.com because I had identity theft. Transunion sent an online message saying I had already received my free credit report, but this is not true the person at the XXXX phone number confirmed this. I had only ordered from XXXX last year. So I was forced to pay {$18.00} for XXXX days on XXXX/XXXX/2015 which should be free for XXXX days. They will not refund that money 
","not, get, free, credit, report,"
"I had a account with XXXX that was eventually sent to a collection agency, it has been on all XXXX of my credit files for over 7 years with XXXX collection agency and as of XXXX 2015 it had been resold to another collection agency and is being report as a new collection account on my credit file as of that date. The account should have been removed from my credit file in XXXX 2015 for good. The Collection Agency is XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX WA XXXX ( XXXX ) XXXX and its for XXXX XXXX Account # XXXX for XXXX. I feel that the agency is unfairly putting fraudulent info on my credit report. 
"," resold, account, report, new, fraud, credit"
"I wante to pay on mywasher and dryer, i was told that my account, was closed i ask why then i was told that i had filed chapter XXXX, I said know way i 've never filed chapter XXXX in my life. What should i do about this? So i do n't know wh did this. It was'nt me. 
","account, closed, never filed, chapter"
"I have XXXX judgements against me. At the time of service I had medical insurance to cover me. Instead of my insurance being billed I was directly sued by the medical provider. I 've contacted the XXXX and XXXX XXXX about this matter & was given proof that I had insurance coverage at the time of of service. I sent a written letter to each credit bureau with a copy of proof of insurance at the time of service requesting they remove it immediately off my credit and they have yet to do so. Please help me because I 'm being denied credit cards home loans and renting a place because of these derogatory remark. 
","instead, medical, insurance, directly, billed"
"This debt collector calls repeatedly, 2-4 times per day including both weekend days, sometimes leaving automated messages. I last answered a call from them on XXXX, during which I informed them up front that I was aware of the state of my account and did not know when I would be able to pay the bill ; I was pushed no fewer than XXXX times to agree that I would have it paid by a certain, arbitrary date so that the caller could leave a note on my account to that effect, which I would then be held to, despite my repeated insistence that I was not certain I could pay by that date. The caller eventually put the note on my account despite my protests. The repeated calls are intrusive and stressful. 
","repeatedly, call, messages, intrusive, stressful"
"I attended XXXX Illinois University in XXXX, IL from XXXX. It was difficult for me to find a full time position after graduating and my loans went into forbearance. In those XXXX years of looking for a job I gained {$30000.00} in interest on my XXXX loans. Sallie Mae/Navient is currently charging me an entire paycheck as a monthly payment and have screwed up time and time again on taking out my monthly payments after signing up for automatic debt. I am currently attending school again, and have notified XXXX XXXX to expire my deferment because I want to continue to make payments. They have not done so and have screwed up my payments while accumulating more interest on my loans. I have called XXXX times to complain/understand what is happening and they continue to give me the same excuse, that my payment for the month is past the deadline in which they can take it out, so wait till next month. I would n't have to wait if they would have done their job in the XXXX place. I even have documentation that shows that they expired my deferment. All I get is a "" I understand '' "" We are sorry you feel that way ''. Something needs to change, I am sure I am not the only XXXX they are doing this to. It is sad that I am regretting getting my XXXX, if I never did I would n't have to deal with such a XXXX company. 
","difficult, payment, loan, forbearance"
"Have XXXX on my account from this company never have had any info on what is for on my trans union report the number is XXXX and the second is XXXX do n't know what they are for we have had XXXX XXXX for years and the other says insurance and we have had XXXX for years so no clue and never been contacted about these or had any info 
","never, contacted, about, account, report"
"Was unaware of debt owed and no contact was attempted by the collection agency or the school. I found out when I received an email from my credit report monitoring company contacted me. 
","unaware, debt, owed, credit, report"
"Received XXXX phone calls within XXXX week from the following number XXXX and XXXX. Message simply was a debt collection agency following up on collecting a debt. End recording ... 

I do not know what it is all about since we do not have any financial arrears? 

Do not know if this is a scam either? 
","debt, not, known, agency, call"
"Transunion is reporting my XXXX XXXX XXXX Account ( XXXX ) 30 days late for cars purchased in XXXX ( XXXX XXXX ) and in XXXX ( XXXX XXXX ). 
In XXXX, the XXXX XXXX was paid in full by the credit union and the payment was not late. 
In XXXX, the XXXX XXXX was paid within 30 days. 
","car, purchage, report, late, payment"
"Ordered a XXXX credit report and scores from XXXX ( Experian ) .They only gave me XXXX score and XXXX report from Experian. They said there was an error in getting the other XXXX scores & reports. I paid them {$49.00}, & they will not refund my money. It was paid with a Visa card 
","error, getting, score, report, paid"
"We received several phone calls from different 1-800 numbers saying that we need to call to XXXX to schedule an appointment for them to send the plaintiff with the court papers, in other words, to serve my mother. 
When I called the phone number a gentleman answers and, without saying the name of the company or what is regarding to, he asked for the "" case '' number. After a bit of back and forth he said that they purchased a loan from XXXX XXXX and now they are collecting, the debt is for {$1600.00} but we can settle the debt for 50 % over the phone, otherwise they 'll send the papers and she 'll be sued. When I explained the serving procedures to him and that they way he was conducting the call was n't professional nor accurate, he got upset, started to threat saying "" you better pay up buddy or she 'll be sued '' and "" Let me put it this way bro, if you 're gon na ask for money, you better be ready to pay up '' then he followed to hang the phone. That was the XXXX time that I spoke with him, the XXXX XXXX was a very rude conversation about the same deal. 
","several, threat, call, loan, collection"
"I attended XXXX XXXX XX/XX/XXXX -XX/XX/XXXX ( a XXXX XXXX ). All of my loans were forgiven by XXXX Acct. # XXXX in XX/XX/XXXX. Genesis should have been included in this. They need to stop sending me notices as I am XXXX and will not be paying back any loan unless I receive help from the government myself. Please check this out and inform me of your findings. 
","loans, forgiven, sending, payment, notice"
"I paid off my debt 100 % almost a year ago, yet the same account that I paid off in full, remains on my credit report. I have called the debtor & spoke with several different representatives regarding this matter/situation. I have been working on clearing/paying off all of my debts. This is the only XXXX that has been left on my report even though it has been paid in full. The debtor, XXXX XXXX XXXX, WI, seem to not know why it remains on my report or even how to have it removed. I have asked them several times to report that it has been paid in full, but it 's not working for whatever reason. but, they did send me a confirmation letter stating that the account has been paid in full & that there is a 0 balance. How do I go about clearing this up, free of charge, as quickly as possible? 
","debt, paid, account, remains, credit, report"
